Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-07-05T13:18:24.614Z","","","Included","claude-sonnet-5-thinking-high","No","267461","98","5268416","53104","5589079","Included"
"2026-07-05T10:18:01.352Z","","","Included","composer-2.5-fast","No","0","1448","313600","1124","316172","Included"
"2026-07-05T10:16:58.096Z","","","Included","composer-2.5-fast","No","0","600","122528","538","123666","Included"
"2026-07-05T10:16:10.937Z","","","Included","composer-2.5-fast","No","0","66938","358080","9934","434952","Included"
"2026-07-05T09:54:58.133Z","","","Included","composer-2.5-fast","No","0","170","53696","77","53943","Included"
"2026-07-05T09:54:25.457Z","","","Included","composer-2.5-fast","No","0","348","53280","98","53726","Included"
"2026-07-05T09:52:46.156Z","","","Included","composer-2.5-fast","No","0","503","52768","196","53467","Included"
"2026-07-05T09:52:36.917Z","","","Included","composer-2.5-fast","No","0","386","52224","530","53140","Included"
"2026-07-05T09:51:10.233Z","","","Included","composer-2.5-fast","No","0","9648","276896","1622","288166","Included"
"2026-07-05T09:49:11.277Z","","","Included","composer-2.5-fast","No","0","2926","118208","642","121776","Included"
"2026-07-05T09:48:25.401Z","","","Included","composer-2.5-fast","No","0","328","38144","229","38701","Included"
"2026-07-05T09:48:04.818Z","","","Included","composer-2.5-fast","No","0","36352","1728","259","38339","Included"
"2026-07-05T09:47:46.740Z","","","Included","claude-opus-4-8-thinking-high","No","1932","2","72593","826","75353","Included"
"2026-07-05T09:43:03.068Z","","","Included","claude-opus-4-8-thinking-high","No","72593","4","68293","1809","142699","Included"
"2026-07-05T09:24:15.777Z","","","Included","claude-opus-4-8-thinking-high","No","71185","163009","1086906","23537","1344637","Included"
"2026-07-05T09:23:39.538Z","","","Included","claude-opus-4-8-thinking-high","No","273556","4","270803","1886","546249","Included"
"2026-07-05T09:16:09.612Z","","","Included","claude-opus-4-8-thinking-high","No","1112","161392","269317","19803","451624","Included"
"2026-07-05T08:51:49.000Z","","","Included","claude-opus-4-8-thinking-high","No","537302","88","10319525","38537","10895452","Included"
"2026-07-05T08:51:42.578Z","","","Errored, No Charge","claude-fable-5-thinking-high","No","","","","","","Free"
"2026-07-05T08:51:28.158Z","","","Errored, No Charge","claude-fable-5-thinking-high","No","","","","","","Free"
"2026-07-05T08:51:13.109Z","","","Errored, No Charge","claude-fable-5-thinking-high","No","","","","","","Free"
"2026-07-05T08:51:04.325Z","","","Errored, No Charge","claude-fable-5-thinking-high","No","","","","","","Free"
"2026-07-05T08:41:24.576Z","","","Included","composer-2.5-fast","No","0","116073","3392","410","119875","Included"
"2026-07-05T08:26:39.795Z","","","Included","composer-2.5-fast","No","0","117510","1806624","7169","1931303","Included"
"2026-07-05T08:25:19.917Z","","","Included","composer-2.5-fast","No","0","67050","547424","2585","617059","Included"
"2026-07-05T08:11:14.845Z","","","Included","composer-2.5-fast","No","0","191314","668128","1838","861280","Included"
"2026-07-05T07:03:15.123Z","","","Included","composer-2.5-fast","No","0","81077","283552","1206","365835","Included"
